# Disease(MESH)	Gene
D012559	A0A0A0MRP1
D012559	A9JR48
D012559	O43283
D012559	A0A0A0MT67
D012559	Q8IXM6
D012559	Q96IK0
D012559	Q9BY64
D012559	O75900
D012559	Q86YT5
D012559	Q5NUL3
D012559	Q9NWW5
D012559	P07225
D012559	Q14896
D012559	O43542
D012559	Q06520
D012559	D6RDW0
D012559	Q8N9N5
D012559	Q92786
D012559	P51530
D012559	A0A087WZ84
D012559	Q96MP8
D012559	Q9Y5H9
D012559	Q6P3W7
D012559	Q5SRH9
D012559	Q9NVS2
D012559	Q9Y5R4
D012559	Q9Y3R4
D012559	P52333
D012559	F5H6P7
D012559	Q9H171
D012559	Q8N6G6
D012559	Q13322
D012559	Q9H201
D012559	Q9BYV9
D012559	P33681
D012559	Q99592
D012559	A0A0A0MTC1
D012559	Q2M2I5
D012559	P19388
D012559	Q9UKE5
D012559	F8W6Y9
D012559	Q9NQ38
D012559	Q96N28
D012559	P35711
D012559	O76011
D012559	J3KS52
D012559	J3KRN4
D012559	J3KTI2
D012559	Q9UBK2
D012559	Q14157
D012559	Q7RTN6
D012559	Q15836
D012559	Q7RTS1
D012559	Q9Y5K3
D012559	P04271
D012559	Q6W0C5
D012559	Q9NZC3
D012559	Q9NRM2
D012559	O00253
D012559	B4E0K5
D012559	P01241
D012559	P11712
D012559	Q9BXA6
D012559	Q03181
D012559	Q8NDQ6
D012559	Q3SYC2
D012559	F5GWT4
D012559	Q12972
D012559	Q8NE01
D012559	Q15428
D012559	Q9UI15
D012559	Q9H190
D012559	Q8NDT2
D012559	O75911
D012559	Q63HQ2
D012559	Q8N157
D012559	Q8IYD2
D012559	Q96D09
D012559	Q96AQ6
D012559	O75575
D012559	F8WEZ9
D012559	Q9BZI1
D012559	Q5SRE5
D012559	Q8WUN7
D012559	P49418
D012559	O75746
D012559	Q7Z698
D012559	Q9NVR5
D012559	Q15942
D012559	Q6ZN04
D012559	O95935
D012559	Q13464
D012559	Q8IUQ4
D012559	Q8N3P4
D012559	Q8NCL4
D012559	Q9H9K5
D012559	P05187
D012559	P0CE72
D012559	P27701
D012559	Q9NXB0
D012559	Q9Y2R9
D012559	P36406
D012559	O75916
D012559	Q9UIF3
D012559	O43586
D012559	E9PKC0
D012559	A0A075B6P0
D012559	Q00325
D012559	Q7LBR1
D012559	Q69YU5
D012559	Q9BXW9
D012559	P09603
D012559	A0A087WUM5
D012559	Q14088
D012559	P58546
D012559	A6NFI1
D012559	A0A087X0H8
D012559	A0A0A6YYH7
D012559	Q8TDQ0
D012559	Q9UI09
D012559	Q5T4T6
D012559	Q6UWN5
D012559	Q5JPI9
D012559	Q13519
D012559	P20020
D012559	P60953
D012559	Q99457
D012559	Q9H668
D012559	Q13516
D012559	P08134
D012559	Q96MT7
D012559	Q96A44
D012559	O43300
D012559	Q9UKM7
D012559	Q02952
D012559	Q6UX15
D012559	Q15768
D012559	Q8TE59
D012559	Q7Z570
D012559	P42261
D012559	Q14657
D012559	Q02930
D012559	P62314
D012559	Q8IWP9
D012559	Q92911
D012559	H3BUD5
D012559	Q7L2R6
D012559	A0A0A0MTC9
D012559	Q86XJ0
D012559	Q6NVY1
D012559	Q14656
D012559	Q8NEW7
D012559	P21953
D012559	Q96CG3
D012559	Q05925
D012559	P63173
D012559	Q07617
D012559	Q9H3T2
D012559	Q8N7C4
D012559	Q8J025
D012559	Q01813
D012559	E7EWK1
D012559	Q8IXK2
D012559	P23508
D012559	Q9UJV9
D012559	O60906
D012559	D0EI67
D012559	J3KRY7
D012559	Q8N5H3
D012559	P49715
D012559	Q86UF1
D012559	O95918
D012559	Q9UBC7
D012559	P10646
D012559	B8ZZF2
D012559	O43688
D012559	G5E9G7
D012559	Q7Z736
D012559	P29992
D012559	Q96QV6
D012559	Q96DC7
D012559	Q9BU40
D012559	P58397
D012559	P50995
D012559	Q9UJV8
D012559	P09467
D012559	Q9NYP9
D012559	Q8NAT1
D012559	Q8WWF5
D012559	P61081
D012559	O60282
D012559	P45954
D012559	Q5VXI4
D012559	P78310
D012559	P30408
D012559	F5H435
D012559	Q9UBG0
D012559	Q96LR9
D012559	Q7Z614
D012559	A6NGB7
D012559	P48551
D012559	Q7L0Y3
D012559	P55268
D012559	P56385
D012559	Q9Y4I5
D012559	Q6UW15
D012559	Q9UGJ1
D012559	D4PHA4
D012559	Q9BRL7
D012559	Q9BZQ8
D012559	Q9BPU6
D012559	O60344
D012559	P27694
D012559	Q9HAW9
D012559	Q15542
D012559	Q5T8I9
D012559	Q9NZI7
D012559	Q5JUX0
D012559	P15036
D012559	Q9HB90
D012559	Q16851
D012559	A3KN83
D012559	P02461
D012559	Q9Y6H3
D012559	Q16849
D012559	O43934
D012559	Q6UXH1
D012559	Q96QA6
D012559	Q13342
D012559	B5MC27
D012559	Q9BRT6
D012559	Q96F25
D012559	O60765
D012559	P78536
D012559	D6R992
D012559	Q96Q15
D012559	Q7Z3B1
D012559	Q14140
D012559	Q9UHF4
D012559	Q15784
D012559	P30926
D012559	Q16762
D012559	Q53GA4
D012559	O94772
D012559	Q8WXD5
D012559	Q8NE63
D012559	Q9H0C5
D012559	Q6IBW4
D012559	Q86XK7
D012559	Q6NZY7
D012559	Q9Y5H6
D012559	Q9C0D9
D012559	A0A0C4DFX9
D012559	P43686
D012559	Q6TCH7
D012559	P42701
D012559	Q96KR1
D012559	O43347
D012559	Q15797
D012559	P56470
D012559	Q9H633
D012559	O15397
D012559	P06127
D012559	Q9H756
D012559	Q16621
D012559	P98169
D012559	Q9H015
D012559	A0A0R4J2E6
D012559	P82673
D012559	P50454
D012559	Q9NY37
D012559	P46109
D012559	Q6ZXV5
D012559	Q8N8N0
D012559	Q13084
D012559	P60763
D012559	P34096
D012559	Q9UGV2
D012559	P00156
D012559	Q9H0V1
D012559	Q9BW04
D012559	Q7Z5Q1
D012559	Q9Y6X9
D012559	A0A024RCG2
D012559	Q8NEC5
D012559	Q7RTU1
D012559	Q9NRR3
D012559	O15213
D012559	P46778
D012559	Q8NCD3
D012559	Q5W5X9
D012559	O43924
D012559	Q7Z3Y7
D012559	Q9HCR9
D012559	Q8ND82
D012559	Q13347
D012559	P14550
D012559	P46093
D012559	Q8WVE6
D012559	H3BMD8
